City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,barano d'ischia,40.718,13.9309,17.33,92,99,0.89,IT,1730085878
342,tamanrasset,22.785,5.5228,18.95,24,0,2.57,DZ,1730085880
343,thinadhoo,0.5333,72.9333,28.05,71,72,5.06,MV,1730085881
344,half moon,34.826,-77.4594,13.14,97,100,4.12,US,1730085882
345,la sarre,48.8002,-79.1996,-4.23,75,9,1.54,CA,1730085883
346,cururupu,-1.8283,-44.8683,23.12,91,15,0.91,BR,1730085884
347,qala i naw,34.9874,63.1289,8.59,76,100,2.94,AF,1730085885
348,colonia,50.9333,6.95,14.98,92,100,1.54,DE,1730085886
349,sabha,27.0377,14.4283,18.82,34,65,4.64,LY,1730085889
350,atyrau,47.1167,51.8833,4.01,81,75,3.0,KZ,1730085890
351,yuzhno-kurilsk,44.0306,145.8556,9.64,86,99,10.38,RU,1730085891
352,sao jose da coroa grande,-8.8978,-35.1478,25.95,77,96,5.76,BR,1730085892
353,tannum sands,-23.9504,151.3693,26.94,41,20,4.63,AU,1730085893
354,al hamul,31.3115,31.1477,20.05,63,0,3.56,EG,1730085894
355,havlickuv brod,49.6078,15.5807,10.95,88,100,0.88,CZ,1730085895
356,kinel',53.2333,50.65,3.77,85,100,1.24,RU,1730085896
357,peace river,56.2501,-117.286,-3.83,93,75,2.06,CA,1730085898
358,hadibu,12.65,54.0333,26.29,78,40,2.76,YE,1730085899
359,bodo,67.28,14.405,5.43,90,75,11.32,NO,1730085900
360,big bend,-26.8167,31.9333,21.99,80,20,1.52,SZ,1730085742
